epoch,train_loss,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,is_best_epoch
1,0.4701834106114126,5.550742635701023,6.891392734422101,-7.875210998577639,4.151241703534756,5.358573484084727,-5.217787347220666,5.875284885061359,6.283893918758836,-30.193993648685577,True
2,0.3645719216543645,1.5327724732495704,2.2470098696777394,0.056428868132446075,1.5431877854272995,2.1719098675710398,-0.021459331336835863,0.8400872810288713,1.1864469938264648,-0.11201327070676093,True
3,0.39405331779377095,2.7303554598945645,3.849893194918686,-1.7698869746598849,1.4842697957513815,2.2064558791401794,-0.05421205605025947,3.7756786488911755,4.849743690677824,-17.580220471686978,False
4,0.4123119979201099,1.5817713359130292,2.444015256914873,-0.11627837308674982,1.4365335702451445,2.0767648579971336,0.06607471018330102,1.931186249522894,2.392735402082352,-3.5227506028435602,True
5,0.2783953120358058,1.5732008700852775,2.305676048418896,0.006515120762291771,1.560378032491359,2.329486631788733,-0.17505427901505732,0.9845175981606409,1.2749233142528293,-0.2840484639772509,False
6,0.2807481105642367,1.742983796375466,2.6973962114368892,-0.3597346718347447,1.5288600915768362,2.1658003924609517,-0.015720784602681448,0.8930558070186686,1.4683492028114746,-0.7032248825905831,False
7,0.2533655951871556,1.5381663773956205,2.2986698471438363,0.012543703657521998,1.4434848323137746,1.9997596817680743,0.1340494358358274,0.8919016229358082,1.1958740914993788,-0.12975482198999466,True
8,0.2231155206935652,1.6583672599525425,2.714379660750913,-0.37691100228945307,1.4788544686702372,2.115170308814273,0.03121330344936113,1.2326672439193316,1.7776664673866005,-1.4963981388592829,False
9,0.22983694534327714,1.3981548104042862,2.223390683295996,0.07616109303408491,1.4731880481102064,2.1580271562830453,-0.008442857339588272,0.8801145571768418,1.2359958616577873,-0.2068334050017948,False
10,0.24818733226465065,1.6283484504791728,2.391961597137392,-0.06923481430013223,1.60886508809494,2.2930262739915266,-0.13855901230200685,0.7618406316512378,1.1699664957129368,-0.08133469990127162,False
11,0.24570734755310245,1.6722963196031464,2.4106253604375834,-0.08598575265740771,1.4600377054058025,2.103131986403361,0.042209466046892796,0.7820717150700913,1.1788235562681382,-0.09776884444223644,False
12,0.23564918162913254,1.610967651724747,2.3852547913039053,-0.06324717910794964,1.5047396547898613,2.1826746856259054,-0.03160991242344657,0.8251479433957436,1.1996537975357444,-0.13690756374066093,False
