epoch,train_loss,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,is_best_epoch
1,5.741356637829695,1.59486327205582,2.4104759051586466,-0.08585107434682726,1.6929508968359894,2.113338119999728,0.032890963425398434,1.1437124362951065,1.4008346103339977,-0.5501974189697572,True
2,4.8295683253711665,1.5277593912798537,2.4151359085361737,-0.09005353146440465,1.5549633620053898,2.0036522115577555,0.1306750427946315,1.2781808644595767,1.515296216422944,-0.8138791992788765,True
3,4.998962025646435,1.7947011615100301,2.600016835763343,-0.2633305438319937,1.5366789118283324,2.014080804100625,0.12160218213816831,1.9716073436459072,2.2323529796761528,-2.93676069095678,False
4,4.748098521900997,1.5029181499865036,2.232757000095136,0.06836114002889204,1.652868856811597,2.0698265494737016,0.0723046617083688,1.9885720543312926,2.2358946309090477,-2.9492620234505487,False
5,4.336517067597937,1.5522616576485104,2.302910724723273,0.00889679480812866,1.5325720646223169,1.984367995309903,0.14732820877792685,2.8699129136482706,3.4604213500210985,-8.459566804399305,True
6,4.270198346296424,1.4918090235782444,2.222101809492036,0.0772318798824797,1.5178158867966245,1.9663191292096895,0.1627686614205024,1.4096405238476621,1.807930383104446,-1.582121593438528,True
7,4.479174629319699,1.4616993303211505,2.1392517682161247,0.1447590735995704,1.6141998820558743,2.022472366011375,0.11426733701360914,1.3359701834118165,1.5793693503233404,-0.9705193065958948,False
8,4.0105441309245435,1.505067319805024,2.1515790694078896,0.13487413271607573,1.6370100073332403,2.031712057833598,0.10615588777816576,1.2483139141079258,1.513533244219497,-0.8096609371038574,False
9,4.075939122656321,1.4826314326552794,2.134235859584936,0.1487649426084996,1.6183187062817592,2.0115383192000973,0.12381848206717927,1.3986641381781142,1.7672012798503445,-1.4670918446213816,False
